race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-11,7,8,シカゴスティング,エコロジーク,0.048838931575472824,0.04442475784962108,0.004414173725851747,1.099362921477115,7,41.542046999417366,41.542046999417366,0
2026-0704-02-01-07-11,8,9,エコロジーク,ポエットリー,0.04442475784962108,0.039964729247633154,0.004460028601987923,1.1115991196725563,8,41.969314429986404,41.969314429986404,0
2026-0704-02-01-07-11,9,10,ポエットリー,ルーフ,0.039964729247633154,0.037229613012765464,0.0027351162348676905,1.073466147336258,9,32.41406098271509,32.41406098271509,0
2026-0704-02-01-07-11,10,11,ルーフ,ウィルオレオール,0.037229613012765464,0.03545759502652612,0.001772017986239341,1.0499756958957223,10,24.97572344144494,24.97572344144494,0
2026-0704-02-01-07-11,11,12,ウィルオレオール,サムハンター,0.03545759502652612,0.03373149706772523,0.0017260979588008957,1.0511716973407756,11,24.66498349194018,24.66498349194018,0
2026-0704-02-01-07-11,12,13,サムハンター,メルトユアハート,0.03373149706772523,0.031376343682918084,0.002355153384807143,1.0750614350928767,12,29.578558943484172,29.578558943484172,0
2026-0704-02-01-07-11,13,14,メルトユアハート,ハッピーロンドン,0.031376343682918084,0.027233331376365074,0.00414301230655301,1.1521302057870377,13,40.085453486113806,40.085453486113806,0
2026-0704-02-01-07-11,14,15,ハッピーロンドン,ロードマイライフ,0.027233331376365074,0.016415165982010385,0.010818165394354689,1.6590347856494703,14,63.58516216741115,63.58516216741115,0
2026-0704-02-01-07-11,15,16,ロードマイライフ,ゴールドサーベル,0.016415165982010385,0.015572928234404794,0.0008422377476055912,1.0540834539868271,15,18.158865799184305,18.158865799184305,0
2026-0704-02-01-07-12,1,2,シーズザスローン,ゴールドブレイズ,0.33235969983175,0.29459247947557365,0.037767220356176356,1.1282015767116955,1,88.42493688094775,88.42493688094775,0
2026-0704-02-01-07-12,2,3,ゴールドブレイズ,アチーヴァー,0.29459247947557365,0.09902194700708315,0.1955705324684905,2.9750220873207143,2,99.82520877840358,99.82520877840358,1
2026-0704-02-01-07-12,3,4,アチーヴァー,イサギ,0.09902194700708315,0.06996077869859522,0.029061168308487928,1.4153922933546688,3,84.56010875898232,84.56010875898232,0
2026-0704-02-01-07-12,4,5,イサギ,シュヴァルノワール,0.06996077869859522,0.06326348299929452,0.0066972956993007066,1.1058635310891023,4,51.67993785201009,51.67993785201009,0
2026-0704-02-01-07-12,5,6,シュヴァルノワール,カーフキック,0.06326348299929452,0.05345903067925316,0.00980445232004136,1.1834012363386595,5,61.17692755874927,61.17692755874927,0
2026-0704-02-01-07-12,6,7,カーフキック,ブレイジングスター,0.05345903067925316,0.05250329514946071,0.0009557355297924452,1.0182033437534113,6,18.9745581666343,18.9745581666343,0
2026-0704-03-02-03-01,1,2,ウィンターブリーズ,コスモハナミズキ,0.3043754526315014,0.21681503227431023,0.08756042035719117,1.4038484759968644,1,96.71780928335599,96.71780928335599,1
2026-0704-03-02-03-01,2,3,コスモハナミズキ,レゾルーティオ,0.21681503227431023,0.14261526946966688,0.07419976280464335,1.5202792315336546,2,95.51369197902505,95.51369197902505,1
2026-0704-03-02-03-01,3,4,レゾルーティオ,ニューロファイター,0.14261526946966688,0.11901345552588287,0.02360181394378401,1.1983121474752165,3,81.10312682074189,81.10312682074189,0
2026-0704-03-02-03-01,4,5,ニューロファイター,エムアイブレイズ,0.11901345552588287,0.10500181342002476,0.014011642105858105,1.1334419059012744,4,69.99417362594679,69.99417362594679,0
