race_id,anchor,opponent_cluster,opponent_count,quinella_tickets,quinella_hit,quinella_stake,quinella_return,quinella_roi,exacta_tickets,exacta_hit,exacta_stake,exacta_return,exacta_roi,wide_tickets,wide_stake,wide_return,wide_roi
2026-0712-02-01-10-09,コッツォリーノ,ラブリーリディア,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-02-01-10-10,マメタンク,デアプリームス,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-02-01-10-11,レディネス,ストレイトトーカー/タシット/リラボニート/パレハ/シルトホルン/キョウエイブリッサ/エラトー/レディーヴァリュー/パトリックハンサム/ヴーレヴー/レディントン/ウインシュクラン/エエヤン,13,13,0,1300,0.0,0.0,13,0,1300,0.0,0.0,13,1300,0.0,0.0
2026-0712-02-01-10-12,ハッピーラッキー,シャルトル,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-03-02-06-01,トーアマリシテン,モスクロッサー/ゲレル/ブライテストドーン/シグムンド/サラフィエル/ジャスパーグレイト/フェイトライン/エポカスピーガ/クラウンウルル/ノブダブルホワイト/アウルムレガリア/トモジャシャトー/スノーリン,13,13,1,1300,8590.0,660.7692307692307,13,1,1300,12600.0,969.2307692307692,13,1300,2160.0,166.15384615384616
2026-0712-03-02-06-02,クリムゾンリーフ,アーティキュレート/ヒロイックヴァース/サングラント/ゴットタレント/ディメンシア/ペイシャオーヴァル/ルストラーレ/トランセンコ/レヴェンドール/レアリゼソンレーヴ/ジュンヴィヴァン/フィーユレアル/グラスフェザー/ニシノトマラナイ,14,14,1,1400,610.0,43.57142857142857,14,0,1400,0.0,0.0,14,1400,1160.0,82.85714285714286
2026-0712-03-02-06-03,ヴァルカンテソーロ,ブライスフェアリー/ミナヅキ/ヴォンサクレ/オーブレーヌ/チャンピオンホープ/ヤマニンリンキング/ホウオウショパン/レイナエヴィータ/スティールシップ/ウッケン/エコロゼット/ギリーカラム/ソアサージュ/シュタットパーク/ウインベルチェーロ,15,15,1,1500,1030.0,68.66666666666667,15,1,1500,1310.0,87.33333333333333,15,1500,650.0,43.333333333333336
2026-0712-03-02-06-06,ツクバヴァンガード,イイクニパッション/ニンジャトットリ,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0712-03-02-06-07,キッショウダラニ,ノーブルクロンヌ/ラルルジェンヌ/ベルオーシャン/インザライムライト/ウインディナナコ/リナシタ/コスモシグルン/イマジェリーナ/フライスカイハイ/シャインフォーミー/モーニングダリア/スイートハイデン/マリノマーベラス/サクラモンストール/ダノンクラウディア,15,15,0,1500,0.0,0.0,15,0,1500,0.0,0.0,15,1500,0.0,0.0
2026-0712-03-02-06-08,デンプシー,ミスターマーボー/アイアンパイク,2,2,1,200,500.0,250.0,2,1,200,910.0,455.0,2,200,260.0,130.0
2026-0712-03-02-06-09,ルージュリリック,サルワールカミーズ/ユメシルベ/キューティリップ/ジェルブロア/サフランルージュ/ブルスカメンテ/ペプロス/クイーンズワーフ/ノーブルクラウド/ロゼフェリシア/ニシノコマチムスメ/ヒサエノオモカゲ/テンドリームガール,13,13,0,1300,0.0,0.0,13,0,1300,0.0,0.0,13,1300,0.0,0.0
2026-0712-03-02-06-10,リフレックス,サトミノエンジェル/チギリ/ジェイエルマスター/ティンティンデオ/ダカラフェスティヴ/スマートケープ/ハッスルダンク/オンザライン/ゲキザル,9,9,0,900,0.0,0.0,9,0,900,0.0,0.0,9,900,1380.0,153.33333333333334
2026-0712-03-02-06-12,サンマルノヴェル,ピコテンダー,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-10-02-06-02,タガノプディング,クロカミジョウ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-10-02-06-03,チェファルー,ブルーザー/ダノンワンダー,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,280.0,140.0
2026-0712-10-02-06-04,ブランチアウト,セルヴァジオ/ラミエルノムスコ/タイムレスフレアー/レッドパラジウム,4,4,0,400,0.0,0.0,4,0,400,0.0,0.0,4,400,870.0,217.49999999999997
